from,to,year,relationship,sector,channel
cl,GNTM,2008,candidate,tvshow,Pro7
cl,medienmanagement,2008,student,university,
cl,OneEins,2008,contract,modeling,
cl,OneEins,2009,contract,modeling,
jds,GNTM,2008,candidate,tvshow,Pro7
jds,volkswagen,,model,modeling,
jds,ElleMacPherson ,2016,model,modeling,
jds,nintendoDS,,model,modeling,
jds,severinhaircare,2009,model,modeling,
jds,rockundrepublic,,model,modeling,
jds,otto,,model,modeling,
jds,cunda,,ambassador,modeling,
jds,Dicke_Liebe,2008,actor,movie,
jds,Germany's Next Topmodel - das offizielle Spiel zur neuen Staffel 2009,2009,host,video game,
jds,modelbooking,,job,fashion,
jds,celiaczerlisnki,,model,modeling,
jds,OneEins,2008,contract,modeling,
jds,OneEins,2009,contract,modeling,
jh,GNTM,2008,candidate,tvshow,Pro7
jh,IMGModels,2008,contract,modeling,
jh,IMGModels,2009,contract,modeling,
jh,IMGModels,2010,contract,modeling,
jh,JennyK.L.,2008,founder,fashion,
jh,CundA,2008,model,modeling,
jh,philippplein,,model,modeling,
jh,marcelostertag,,model,modeling,
jh,perretschaad,2016,model,modeling,
jh,OneEins,2008,contract,modeling,
jh,OneEins,2009,contract,modeling,
jh,Twitch,,host,gaming,
jh,Steuerfachangestellte,2014,trainee,company,
jt,GNTM,2018,candidate,tvshow,Pro7
jt,saengerin,,music,music,
jt,Fashionweek_Berlin ,2019,model,modeling,
jt,Instagram,2018,influencer,social media,
jt,Instagram,2019,influencer,social media,
jt,Instagram,2020,influencer,social media,
jt,Instagram,2021,influencer,social media,
jt,Instagram,2022,influencer,social media,
jt,OneEins,2018,contract,modeling,
jt,OneEins,2019,contract,modeling,
le,GNTM,2013,candidate,tvshow,Pro7
le,OneEins,2013,contract,agency,
le,pma ,2014,contract,agency,
le,pma ,2015,contract,agency,
le,pma ,2016,contract,agency,
le,pma ,2017,contract,agency,
le,pma ,2018,contract,agency,
le,pma ,2019,contract,agency,
le,pma ,2020,contract,agency,
le,pma ,2021,contract,agency,
le,pma ,2022,contract,agency,
le,werweißdennsowas,2017,candidate ,tvshow,daserste
le,abitur,2014,student,school,
le,annettegoertz,2016,model,modeling,
le,breuninger,2016,model,modeling,
le,tinamyake,,model,modeling,
le,danielfranziskus,2014,love,relationship,
le,danielfranziskus,2015,love,relationship,
le,danielfranziskus,2016,love,relationship,
le,danielfranziskus,2017,love,relationship,
le,danielfranziskus,2018,love,relationship,
le,danielfranziskus,2019,love,relationship,
le,ausbildung,2020,trainee,company,
le,youandi,2013,model,modeling,
le,bonprix,2013,model,modeling,
le,mieten_kaufen_wohnen,,candidate,tvshow,vox
le,Instagram,2013,influencer,social media,
le,Instagram,2014,influencer,social media,
le,Instagram,2015,influencer,social media,
le,Instagram,2016,influencer,social media,
le,Instagram,2017,influencer,social media,
le,Instagram,2018,influencer,social media,
le,Instagram,2019,influencer,social media,
le,Instagram,2020,influencer,social media,
le,Instagram,2021,influencer,social media,
le,Instagram,2022,influencer,social media,
lw,GNTM,2013,candidate,tvshow,Pro7
lw,Fashionweek_Berlin ,2013,model,modeling,
lw,OneEins,2013,contract,modeling,
lw,krankenschwester,,job,health,
mvg,GNTM,2013,candidate,tvshow,Pro7
mvg,thomasrath,,model,modeling,
mvg,HUFMagazine,,model,modeling,
mvg,OneEins,2013,contract,modeling,
mvg,OneEins,2014,contract,modeling,
mvg,campdavid,,model,modeling,
pr,OneEins,2018,contract,modeling,
pr,OneEins,2019,contract,modeling,
pr,Instagram,2018,influencer,social media,
pr,Instagram,2019,influencer,social media,
pr,Instagram,2020,influencer,social media,
pr,Instagram,2021,influencer,social media,
pr,Instagram,2022,influencer,social media,
tda,werweißdennsowas,2019,candidate ,tvshow,daserste
tda,GNTM,2018,candidate,tvshow,Pro7
tda,promi_shopping_queen,2019,candidate,tvshow,vox
tda,poetryslam,,candidate,poetry,
tda,jugendgottesdienst,,job,church,
tda,aboutyou,,model,modeling,
tda,zalando,,model,modeling,
tda,OneEins,2018,contract,modeling,
tda,OneEins,2019,contract,modeling,
tda,OneEins,2020,contract,modeling,
tda,OneEins,2021,contract,modeling,
tda,OneEins,2022,contract,modeling,
tda,LikeILoveYou,2020,actor,music video,
tda,AnWunder,2018,actor,music video,
tda,danielwellington,,model,modeling,
tda,Fashionweek_Berlin ,2019,model,modeling,
tda,LambertzMondayNight,2020,model,modeling,
tda,Medien-undKommunikationsmanagement,,student,university,
tda,jokoundklaasgegenpro7,2019,candidate,tvshow,Pro7
tda,GNTM,2019,jury,tvshow,Pro7
tda,Instagram,2018,influencer,social media,
tda,Instagram,2019,influencer,social media,
tda,Instagram,2020,influencer,social media,
tda,Instagram,2021,influencer,social media,
tda,Instagram,2022,influencer,social media,
tda,TikTok,2020,influencer,social media,
tda,TikTok,2021,influencer,social media,
tda,TikTok,2022,influencer,social media,
tda,amazon,2021,model,modeling,
tda,latenightberlin,2018,candidate,tvshow,Pro7
tda ,frühstücksfernsehen,2018,candidate,tvshow,Sat1